,City,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude
79,nikolskoye,42.01,97,18,6.29,59.7035,30.7861
80,busselton,65.35,59,0,12.97,-33.65,115.3333
81,fairhope,66.67,71,0,16.11,30.523,-87.9033
82,ganzhou,70.97,66,0,6.29,28.8184,115.4327
83,wangqing,70.16,23,0,9.91,43.3218,129.7634
84,leh,38.53,64,59,4.72,34.1667,77.5833
85,jaguarao,62.15,83,100,8.32,-32.5661,-53.3758
86,bethel,43.86,57,0,3.44,41.3712,-73.414
87,loandjili,75.94,93,100,2.68,-4.7561,11.8578
88,wulanhaote,,,,,,
89,bluff,55.8,90,100,10.54,-46.6,168.3333
90,mar del plata,61.88,91,100,5.99,-38.0023,-57.5575
91,kapaa,73.78,87,100,21.85,22.0752,-159.319
92,hobart,54.09,58,40,11.5,-42.8794,147.3294
93,sur,82.09,50,40,7.65,22.5667,59.5289
94,acapulco,80.08,64,0,5.82,16.8634,-99.8901
95,port elizabeth,69.31,59,100,1.99,-33.918,25.5701
96,kibala,82.24,36,78,6.89,9.1104,18.3463
97,ternate,83.8,72,55,4.5,0.8,127.4
98,bambanglipuro,79.38,82,95,3.02,-7.95,110.2833
99,tawang,54.19,66,18,4,27.5833,91.8667
100,martil,53.33,80,1,12.91,35.6166,-5.2752
101,pisco,66.25,82,40,11.5,-13.7,-76.2167
102,tongliao,66.33,41,100,24.81,43.6125,122.2653
103,codrington,59.61,52,99,12.19,-38.2667,141.9667
104,los llanos de aridane,57.13,76,75,11.5,28.6585,-17.9182
105,tiksi,12.43,94,100,5.64,71.6872,128.8694
106,leningradskiy,23.99,89,60,7.18,69.3833,178.4167
107,chapais,23.47,94,16,3.67,49.7834,-74.8492
108,lebu,49.91,84,72,4.94,-37.6167,-73.65
109,tabiauea,,,,,,
110,saldanha,59.38,94,1,9.13,-33.0117,17.9442
111,gao,79.83,12,28,4.45,16.6362,1.637
112,narsaq,35.82,62,100,3.65,60.9167,-46.05
113,quatre cocos,76.08,84,100,5.08,-20.2078,57.7625
114,illoqqortoormiut,,,,,,
115,ahipara,72.05,77,22,9.78,-35.1667,173.1667
116,cabo san lucas,71.53,74,2,5.01,22.8909,-109.9124
117,nguiu,,,,,,
118,necochea,59.11,94,100,10.4,-38.5473,-58.7368
119,guerrero negro,61.18,78,0,20.4,27.9769,-114.0611
120,taltal,61.97,84,63,2.62,-25.4,-70.4833
121,sao joao da barra,69.44,89,0,6.51,-21.6403,-41.0511
122,hermanus,57.79,95,98,2.62,-34.4187,19.2345
123,amderma,,,,,,
124,geraldton,77.41,29,100,19.57,-28.7667,114.6
125,norman wells,32.11,79,96,1.43,65.282,-126.8329
126,port hedland,91.45,21,57,21.85,-20.3167,118.5667
127,kattivakkam,84.07,88,88,10.87,13.2167,80.3167
128,zhigansk,23.72,87,100,5.99,66.7697,123.3711
129,ornskoldsvik,29.35,100,25,3.44,63.2909,18.7153
130,namibe,77.4,80,99,4.76,-15.1961,12.1522
131,bambous virieux,76.21,84,100,5.14,-20.3428,57.7575
132,mancora,73.54,82,99,4.83,-4.1078,-81.0475
133,cape town,61.29,89,44,4,-33.9258,18.4232
134,severo-kurilsk,36.5,97,100,5.12,50.6789,156.125
135,angoram,86.72,70,90,2.15,-4.0625,144.0661
136,labuhan,83.05,77,88,7.81,-6.8844,112.2051
137,butaritari,81.7,79,60,13.33,3.0707,172.7902
138,alofi,84.09,74,75,8.05,-19.0595,-169.9187
139,poole,48.83,74,99,1.99,50.7167,-2
140,barentsburg,,,,,,
141,beringovskiy,30.13,87,100,3.04,63.05,179.3167
142,dunedin,63.81,77,100,4,-45.8742,170.5036
143,tumannyy,,,,,,
144,winnemucca,62.65,16,0,17.27,40.973,-117.7357
145,prince rupert,57.29,28,0,14.97,54.3161,-130.3201
146,jiaocheng,75.24,73,84,2.86,24.6774,116.1389
147,roma,35.24,74,0,1.99,43.2128,-75.4557
148,beauchamps,45.37,84,100,6.02,50.012,1.5176
149,hilo,75.49,73,40,12.66,19.7297,-155.09
150,takhtamygda,36.93,35,100,5.88,54.1,123.5667
151,tasiilaq,30.36,93,74,3.69,65.6145,-37.6368
152,chokurdakh,21.38,92,62,5.17,70.6333,147.9167
153,camana,67.87,86,98,6.87,-16.6228,-72.7111
154,ozgon,,,,,,
155,sorland,43.47,86,100,5.39,67.667,12.6934
156,ribeira grande,59.74,69,95,6.29,38.5167,-28.7
157,tual,83.14,73,100,3.87,-5.6667,132.75
158,babanusah,,,,,,
159,avarua,78.85,61,75,13.8,-21.2078,-159.775
160,misratah,68.07,46,100,26.28,32.3754,15.0925
161,souillac,76.48,87,100,6.44,-20.5167,57.5167
162,cortez,60.94,20,0,3.44,37.3489,-108.5859
163,manzhouli,44.06,18,4,8.68,49.6,117.4333
164,port lincoln,62.82,58,98,7.31,-34.7333,135.8667
165,nizhneyansk,,,,,,
166,kano,89.44,27,85,4.18,12.0001,8.5167
167,eureka,56.91,76,100,8.99,40.8021,-124.1637
168,stephenville,80.64,58,40,12.66,32.2207,-98.2023
169,asau,40.93,67,100,4.43,46.4333,26.4
170,nueva loja,70.92,99,98,1.32,0.0847,-76.8828
171,grand gaube,76.37,89,99,8.55,-20.0064,57.6608
172,saint-georges,78.48,78,20,11.5,12.0564,-61.7485
173,castro,55.72,85,0,3.69,-24.7911,-50.0119
174,dikson,-0.62,99,100,11.86,73.5069,80.5464
175,madaoua,84.99,12,42,3.98,14.073,5.96
176,iqaluit,18.7,79,100,8.99,63.7506,-68.5145
177,bontang,82.26,78,91,0.25,0.1333,117.5
178,pitimbu,78.73,82,27,10.94,-7.4706,-34.8086
179,cape coast,79.84,86,100,9.01,5.1053,-1.2466
180,acajutla,81.54,70,2,5.7,13.5928,-89.8275
181,balkanabat,70.23,43,92,7.18,39.5108,54.3671
182,talara,68.83,84,79,12.26,-4.5772,-81.2719
183,iwanai,64.13,38,0,8.48,42.9744,140.5089
184,cidreira,66.94,80,4,10.09,-30.1811,-50.2056
185,sungaipenuh,73.67,73,74,0.89,-2.0833,101.3833
186,ibotirama,77.74,60,96,4.07,-12.1853,-43.2206
187,kihei,76.84,78,40,27.63,20.785,-156.4656
188,kodiak,42.31,65,40,6.91,57.79,-152.4072
189,namatanai,84.83,71,51,10.09,-3.6667,152.4333
190,nesna,38.66,82,41,9.28,66.1967,13.0213
191,hailar,45.39,22,100,12.68,49.2,119.7
192,satitoa,,,,,,
193,kathu,84.02,77,87,11.21,7.9178,98.3332
194,mercedes,60.82,78,70,8.46,-34.6515,-59.4307
195,yunyang,70.39,54,20,12.77,33.4474,112.7142
196,sao filipe,72.5,80,84,3.36,14.8961,-24.4956
197,nuuk,27.21,74,100,6.91,64.1835,-51.7216
198,faya,61.32,49,90,2.1,18.3851,42.4509
199,talnakh,15.21,84,35,4.59,69.4865,88.3972
200,guozhen,74.28,38,55,4.54,34.3659,107.359
201,kaeo,71.33,87,66,9.86,-35.1,173.7833
202,kalispell,46.17,34,0,6.91,48.1958,-114.3129
203,half moon bay,60.62,63,75,23.02,37.4636,-122.4286
204,mogadishu,82.17,72,83,8.1,2.0371,45.3438
205,lata,48.07,95,6,2.1,40.1629,-8.3327
206,roald,40.93,100,19,5.75,62.5833,6.1333
207,lagoa,58.42,73,77,15.12,39.05,-27.9833
208,coahuayana,72.48,81,0,1.77,18.7333,-103.6833
209,la ronge,25.68,90,52,3.02,55.1001,-105.2842
210,kawalu,78.87,85,93,2.71,-7.3817,108.2082
211,hithadhoo,82.76,70,75,4.27,-0.6,73.0833
212,nantucket,45.09,79,0,6.91,41.2835,-70.0995
213,te anau,56.19,94,100,1.77,-45.4167,167.7167
214,praya,70.38,82,46,11.41,14.9215,-23.5087
215,prainha,74.23,98,100,1.63,-1.8,-53.48
216,nome,35.67,64,0,5.75,64.5011,-165.4064
217,toliary,,,,,,
218,attawapiskat,,,,,,
219,noumea,82,99,1,8.88,-22.2763,166.4572
220,biak,83.68,68,92,2.08,-0.9131,122.8766
221,nelson bay,72.01,63,5,10.38,-32.7167,152.15
222,ha giang,76.06,71,97,3.29,22.8333,104.9833
223,ilulissat,17.62,41,100,3.44,69.2167,-51.1
224,saskylakh,10.18,94,100,5.46,71.9167,114.0833
225,arraial do cabo,73.47,76,4,9.28,-22.9661,-42.0278
226,airai,72.88,64,35,4.12,-8.9266,125.4092
227,wausau,40.53,89,100,13.8,44.9591,-89.6301
228,mahon,55.96,71,20,11.5,39.8885,4.2658
229,hami,64.33,11,36,12.3,42.8,93.45
230,kargil,36.99,61,88,3.74,34.5667,76.1
231,severnyy,39.24,87,75,8.95,50.677,36.5532
232,longyearbyen,28.24,69,20,11.5,78.2186,15.6401
233,pak phanang,83.17,75,100,4.09,8.3511,100.202
234,zhezkazgan,48.18,57,0,6.71,47.8043,67.7144
235,honningsvag,42.55,75,100,2.3,70.9821,25.9704
236,larsnes,42.37,93,15,6.44,62.2028,5.5773
237,mount gambier,59.74,57,100,7.07,-37.8333,140.7667
238,lompoc,57.29,79,20,14,34.6391,-120.4579
239,isangel,81.79,71,38,6.8,-19.55,169.2667
240,tafresh,56.95,28,74,2.1,34.692,50.013
241,tadine,78.46,68,29,10.56,-21.55,167.8833
242,umm lajj,73.04,69,0,11.52,25.0213,37.2685
243,parrita,78.91,79,67,4.34,9.5201,-84.3225
244,west lafayette,58.64,53,100,12.66,40.4259,-86.9081
245,grimari,,,,,,
246,villaviciosa,48.56,76,93,5.77,43.4813,-5.4357
247,badak,87.31,66,100,1.36,6.8472,124.7206
248,aklavik,17.74,88,89,9.15,68.2191,-135.0107
249,la asuncion,77.32,83,73,16.04,11.0333,-63.8628
250,moron,63.55,87,84,5.14,-34.6534,-58.6198
251,saint george,76.53,18,0,10.36,37.1041,-113.5841
252,san policarpo,82.53,83,81,9.06,12.1791,125.5072
253,maceio,72.84,88,20,3.44,-9.6658,-35.7353
254,monzon,48.29,83,96,4.12,41.9108,0.1941
255,lorengau,85.95,64,33,11.83,-2.0226,147.2712
256,puerto ayora,73.47,93,89,5.17,-0.7393,-90.3518
257,vigrestad,45.61,67,87,8.81,58.5667,5.7
258,egvekinot,25.23,88,100,2.77,66.3167,-179.1667
259,gostinu,40.23,96,38,11.14,44,26.1167
260,faanui,81.36,68,18,5.88,-16.4833,-151.75
261,colares,54.55,70,77,35.99,38.7992,-9.4469
262,turukhansk,15.1,91,100,6.46,65.8167,87.9833
263,manitouwadge,32.09,97,100,13.27,49.1215,-85.8403
264,louisbourg,,,,,,
265,pembroke,40.98,91,10,3.67,45.8168,-77.1162
266,marcona,,,,,,
267,kamenskoye,,,,,,
268,bundaberg,85.21,61,56,1.99,-24.85,152.35
269,katav-ivanovsk,38.17,95,100,2.17,54.7531,58.1956
270,korla,67.93,28,97,11.05,41.7597,86.1469
271,adrar,76.51,18,5,11.79,20.5022,-10.0711
272,tekax,,,,,,
273,vanimo,78.31,92,100,6.93,-2.6741,141.3028
274,maumere,85.89,65,14,4.16,-8.6199,122.2111
275,xuddur,72.82,82,88,10.04,4.1213,43.8894
276,nyimba,64.45,92,99,3.38,-14.5566,30.8149
277,nemuro,45.61,73,16,20.94,43.3236,145.575
278,sorong,84.56,73,100,5.55,-0.8833,131.25
279,lazaro cardenas,76.57,77,0,6.2,17.9583,-102.2
280,samusu,,,,,,
281,vikhorevka,31.59,85,100,6.6,56.1201,101.1636
282,moroni,80.58,85,100,11.99,-11.7022,43.2551
283,tuktoyaktuk,8.53,93,98,6.87,69.4541,-133.0374
284,husavik,41.43,90,98,9.17,66.0449,-17.3389
285,sola,82.99,73,24,10.76,-13.8833,167.55
286,zhangye,56.28,15,100,2.48,38.9342,100.4517
287,malwan,,,,,,
288,karaton,80.24,79,100,3.2,-6.3424,106.1045
289,finschhafen,83.53,74,100,7.07,-6.6024,147.8681
290,bosaso,79.09,70,7,13.73,11.2842,49.1816
291,ambilobe,74.62,93,100,4.5,-13.2,49.05
292,aksaray,50.05,59,49,1.99,38.3726,34.0254
293,hofn,45.57,97,100,8.48,64.2539,-15.2082
294,margate,48.78,84,68,3,51.3813,1.3862
295,arinos,69.57,50,0,0.58,-15.9169,-46.1056
296,muroto,62.83,91,100,14.85,33.2833,134.15
297,tura,76.51,55,15,2.71,25.5198,90.2201
298,carutapera,76.57,92,100,4.54,-1.195,-46.02
299,ancud,53.22,88,100,18.45,-41.8697,-73.8203
300,shalakusha,23.09,97,18,3.09,62.2247,40.2539
301,superior,36.54,95,100,8.05,46.7208,-92.1041
302,takoradi,78.85,90,100,6.93,4.8845,-1.7554
303,ajdabiya,64.89,32,100,10.71,30.7554,20.2263
304,luderitz,70.59,38,13,4.16,-26.6481,15.1594
305,tuensang,71.31,72,1,2.35,26.2833,94.8333
306,tsihombe,,,,,,
307,katsuura,63.32,73,100,3.67,35.1333,140.3
308,vila franca do campo,54.01,68,54,4.79,37.7167,-25.4333
309,san patricio,75.63,84,17,15.43,28.017,-97.5169
310,sechura,69.76,75,76,15.37,-5.5569,-80.8222
311,nouadhibou,63.46,86,79,18.43,20.931,-17.0347
312,mlonggo,81.79,76,75,3.74,-6.5333,110.7
313,tilichiki,22.03,81,11,5.14,60.4667,166.1
314,guanica,75.4,89,100,4.16,17.9716,-66.908
315,yar-sale,11.12,89,100,24,66.8333,70.8333
316,clinton,42.84,72,100,16.11,42.587,-82.9199
317,ngukurr,,,,,,
318,erechim,55.53,80,14,1.95,-27.6342,-52.2739
319,porto novo,75.02,91,100,5.06,6.4965,2.6036
320,atar,78.33,18,0,6.78,20.5169,-13.0499
321,vangaindrano,72.82,91,43,4.61,-23.35,47.6
322,kalevala,34.95,99,95,4.14,65.2,31.1667
323,port macquarie,75.88,57,36,7.7,-31.4333,152.9167
324,imbituba,63.05,89,3,3.78,-28.24,-48.6703
325,kartaly,45.99,78,100,10.27,53.0522,60.6467
326,shunyi,66.15,63,0,6.71,40.125,116.6453
327,kamyaran,53.73,41,98,2.73,34.7956,46.9355
328,banes,75.69,81,3,11.97,20.9625,-75.7186
329,kanbe,82.45,56,70,4.34,16.7053,96.0017
330,omboue,78.46,89,100,5.5,-1.5746,9.2618
331,tambo,37.04,86,100,1.63,-14.8,-73.9167
332,hovd,45.1,32,0,0.49,48.0056,91.6419
333,champerico,83.48,67,6,3.56,14.3,-91.9167
334,pokrovsk,36.1,91,5,7.34,48.282,37.1758
335,inhumas,64.99,59,0,4.23,-16.3578,-49.4961
336,thinadhoo,83.46,70,54,7.14,0.5333,72.9333
337,zatoka,45.86,85,75,13.56,46.0725,30.4654
338,najran,70.7,23,0,3.51,17.4924,44.1277
339,pierre,56.86,35,75,1.99,44.3683,-100.351
340,bara,84.69,26,99,1.14,10.3744,10.7288
341,santa cruz,74.66,88,40,4.61,-17.8,-63.1667
342,moquegua,62.22,64,4,3.29,-17.1956,-70.9353
343,pombas,68.07,83,51,11.27,17.1503,-25.0201
344,ayan,29.98,86,98,6.02,56.45,138.1667
345,russell,59.23,77,95,5.17,32.3502,-85.1999
346,fuling,73.22,61,0,1.16,29.7022,107.3919
347,marawi,81.88,63,90,3,7.9986,124.2928
348,arlit,86.2,12,97,5.68,18.7369,7.3853
349,labutta,,,,,,
350,la mesa,60.66,57,0,11.5,32.7678,-117.0231
351,belushya guba,,,,,,
352,amot,40.51,86,14,5.88,59.5714,7.9877
353,manacapuru,74.73,92,100,1.95,-3.2997,-60.6206
354,saint-augustin,33.3,94,91,14.09,51.226,-58.6502
355,sakaiminato,65.01,57,100,7.81,35.55,133.2333
356,grindavik,43.27,93,40,8.05,63.8424,-22.4338
357,richards bay,61.77,88,28,7.76,-28.783,32.0377
358,chuy,63.73,86,100,9.04,-33.6971,-53.4616
359,vohibinany,72.03,98,100,3.6,-17.35,49.0333
360,maridi,66.54,98,64,4.88,4.9158,29.4742
361,itupiranga,74.71,95,63,2.39,-5.1347,-49.3267
362,carberry,34.03,98,88,9.6,49.8689,-99.3602
363,saint-ambroise,32.9,93,11,3.29,48.5501,-71.3324
364,zyryanka,22.98,86,99,3.06,65.75,150.85
365,fairbanks,44.38,37,20,3.44,64.8378,-147.7164
366,kyrnasivka,40.08,91,100,7.96,48.5955,28.979
367,olga,62.15,43,10,15.17,43.7444,135.2892
368,kaduqli,84.6,46,52,1.7,11.0167,29.7167
369,upernavik,-8.64,71,55,6.62,72.7868,-56.1549
370,mumbwa,60.51,98,100,3.8,-14.9783,27.0619
371,east london,69.84,52,89,5.91,-33.0153,27.9116
372,poum,78.26,72,16,12.86,-20.2333,164.0167
373,bathsheba,79.41,69,20,13.8,13.2167,-59.5167
374,elizabeth city,48.81,72,0,5.75,36.2946,-76.2511
375,ust-kuyga,21.24,78,82,4.68,70.0167,135.6
376,chenzhou,74.52,70,35,5.88,25.8,113.0333
377,gat,50.09,100,1,5.23,31.61,34.7642
378,abu dhabi,73.96,87,98,5.99,24.4667,54.3667
379,muros,45.79,87,93,5.26,42.7762,-9.0603
380,batemans bay,65.1,66,97,4.27,-35.7167,150.1833
381,tamandare,78.76,73,48,6.44,-8.7597,-35.1047
382,bacuit,,,,,,
383,andrews,84.15,8,0,9.22,32.3187,-102.5457
384,sobolevo,43.29,92,100,15.86,54.4299,31.8996
385,port hardy,49.3,56,100,15.77,50.6996,-127.4199
386,rio bueno,51.94,84,100,3.98,-40.3167,-72.9667
387,mayo,49.23,71,0,5.75,38.8876,-76.5119
388,petropavlovsk-kamchatskiy,30.79,93,100,8.95,53.0452,158.6483
389,coquimbo,53.33,93,0,2.3,-29.9533,-71.3436
390,kamloops,51.57,39,100,7,50.6665,-120.3192
391,renukut,86.23,24,1,5.68,24.2,83.0333
392,arkhangelsk,23.11,85,0,2.24,64.5401,40.5433
393,jinchang,55.36,15,100,5.17,38.4953,102.1739
394,shache,69.55,33,37,13.13,38.4167,77.2406
395,vaasa,32.02,93,0,1.14,63.096,21.6158
396,porto velho,75.25,94,20,1.14,-8.7619,-63.9039
397,shenjiamen,59.9,82,0,2.57,29.9576,122.298
398,gannan,40.66,64,100,16.96,47.9147,123.5031
399,ostrovnoy,32.95,93,100,13.06,68.0531,39.5131
400,makakilo city,77.94,60,20,20.71,21.3469,-158.0858
401,mundo nuevo,80.47,80,0,14.61,18.7,-95.5
402,japura,83.07,74,99,1.99,-0.3167,102.35
403,roebourne,89.47,27,5,18.54,-20.7833,117.1333
404,ramsgate,49.03,82,72,3,51.3358,1.4155
405,riohacha,78.57,83,100,6.02,11.5444,-72.9072
406,kargasok,34.21,99,100,3.58,59.0556,80.8572
407,hamada,61.81,72,100,6.49,34.8833,132.0833
408,camacha,56.62,77,40,11.5,33.0833,-16.3333
409,xichang,66.9,57,95,2.75,27.8964,102.2634
410,chekhov,48.09,81,100,15.64,55.1431,37.4711
411,kamenka,46.44,82,54,11.54,51.3223,42.7678
412,san borja,74.12,84,41,1.99,-14.8167,-66.85
413,udimskiy,22.75,97,18,4.92,61.1417,45.9144
414,jonkoping,42.51,81,12,10.36,57.7814,14.1562
415,sao miguel,77.77,83,19,9.15,-5.4667,-35.3667
416,marsaxlokk,65.01,68,0,21.85,35.8419,14.5431
417,waipawa,69.33,63,29,11.36,-41.4122,175.5153
418,igarka,20.84,92,100,14.52,67.4667,86.5833
419,utiroa,,,,,,
420,port keats,91.33,44,100,8.03,-14.25,129.55
421,calatayud,47.55,81,100,11.32,41.3535,-1.6432
422,hedaru,69.19,93,100,3.96,-4.5,37.9
423,magole,69.28,96,97,1.01,-6.3667,37.3667
424,kongoussi,86.31,13,81,7.23,13.3258,-1.5347
425,hengyang,70.18,70,88,4.97,26.8881,112.615
426,meyungs,,,,,,
427,soyo,76.62,90,100,4.52,-6.1349,12.3689
428,iquitos,75.24,100,0,1.14,-3.7481,-73.2472
429,olafsvik,45.16,90,100,6.55,64.8945,-23.7142
430,maniitsoq,22.6,56,100,4.43,65.4167,-52.9
431,chumikan,30.88,92,99,5.01,54.7183,135.315
432,sahrak,,,,,,
433,la rioja,38.98,98,100,6.69,42.25,-2.5
434,koumac,80.35,66,32,11.45,-20.5667,164.2833
435,sosnovo-ozerskoye,34.88,39,77,16.15,52.5249,111.5418
436,manokwari,83.52,74,100,6.49,-0.8667,134.0833
437,swellendam,64.27,49,28,2.06,-34.0226,20.4417
438,nanortalik,30.58,70,100,8.32,60.1432,-45.2371
439,katherine,89.92,35,0,13.8,-14.4667,132.2667
440,saquarema,71.76,80,29,5.64,-22.92,-42.5103
441,acari,70.41,82,80,3.51,-15.4311,-74.6158
442,provideniya,32.11,69,0,4.47,64.3833,-173.3
443,rodrigues alves,73.69,97,100,1.63,-7.738,-72.6509
444,nishihara,76.32,82,75,17.27,26.1842,127.7558
445,jaragua,65.91,56,0,4.94,-15.7569,-49.3344
446,skjervoy,33.8,82,100,4.59,70.0311,20.9714
447,fortuna,55.87,83,100,5.01,40.5982,-124.1573
448,karkaralinsk,,,,,,
449,chhukha,,,,,,
450,konevo,23.52,99,23,3.42,62.1215,39.3192
451,kuche,,,,,,
452,matagami,26.26,92,65,5.1,49.7502,-77.6328
453,san cristobal,69.98,94,100,1.97,7.7669,-72.225
454,ripoll,45.73,89,100,1.99,42.2006,2.1903
455,bac lieu,85.26,70,80,14.9,9.285,105.7244
456,talcahuano,51.48,82,0,10.36,-36.7167,-73.1167
457,flin flon,28.27,87,100,9.37,54.7682,-101.865
458,baghdad,69.24,28,1,16.15,33.3406,44.4009
459,rabo de peixe,53.11,76,40,2.3,37.8,-25.5833
460,khani,33.37,92,18,2.84,41.9563,42.9566
461,vostok,65.07,35,53,9.93,46.4856,135.8833
462,maryborough,81.1,49,38,9.08,-25.5333,152.7
463,hanna,27.27,87,25,5.44,51.6334,-111.9018
464,cayenne,80.1,1,75,0,4.9333,-52.3333
465,vaitupu,,,,,,
466,axim,79.07,90,88,7.85,4.8699,-2.2405
467,alekseyevka,39.49,87,0,8.99,50.6309,38.6903
468,lagoa vermelha,54.86,80,55,2.39,-28.2086,-51.5258
469,illela,86.43,12,75,6.73,13.7292,5.2975
470,bandarbeyla,79.32,80,10,3.98,9.4942,50.8122
471,armidale,66.51,43,10,5.59,-30.5167,151.65
472,mamallapuram,86.05,75,29,9.28,12.6264,80.1722
473,mrirt,,,,,,
474,vlasikha,36.45,93,75,11.18,53.2972,83.5742
475,kempele,35.62,87,0,4.61,64.9131,25.5034
476,ugoofaaru,84.78,73,44,8.23,5.6667,73
477,wajima,63.45,55,97,6.6,37.4,136.9
478,ixtapa,74.43,78,0,6.91,20.7,-105.2
479,mabaruma,74.41,92,56,4.45,8.2,-59.7833
480,hirara,75.69,85,29,15.73,24.8,125.2833
481,anadyr,32,80,75,6.71,64.75,177.4833
482,ranong,82.92,75,98,2.48,9.9658,98.6348
483,paamiut,27.09,89,100,14.85,61.994,-49.6678
484,port augusta,70.41,47,0,7.34,-32.5,137.7667
485,ahumada,,,,,,
486,podporozhye,34.86,96,64,7.31,60.9112,34.1706
487,rybnaya sloboda,34.61,94,95,11.79,55.4613,50.1409
488,wanning,80.69,71,23,5.32,18.8003,110.3967
489,marstal,42.71,76,5,8.08,54.8562,10.5173
490,qafsah,,,,,,
491,goderich,44.91,58,100,18.86,43.7501,-81.7165
492,havelock,49.3,78,5,6.55,34.8791,-76.9013
493,qinzhou,73.72,79,86,5.57,21.95,108.6167
494,rodnykove,39.83,80,100,3.02,45.043,33.9541
